,p,q,aic,bic
0,1,1,849.2077174909759,860.0580307839757
1,1,2,836.4326305504264,850.8997149410927
2,1,3,849.3331702594553,867.4170257477881
3,1,4,851.1319407608412,872.8325673468406
4,1,5,852.9057029709966,878.2231006546626
5,1,6,847.7531459084541,876.6873146897867
6,1,7,834.6919540804922,867.2428939594913
7,1,8,822.7015747379307,858.8692857145965
8,1,9,824.6635649303456,864.4480470046778
9,1,10,823.5327338422505,866.9339870142494
10,1,11,824.2043671392956,871.2223914089611
11,1,12,757.6131143389623,808.2479097062943
12,2,1,836.6631652571405,851.1302496478067
13,2,2,831.5550734417376,849.6389289300705
14,2,3,829.3037658515107,851.0043924375101
15,2,4,838.2631535033333,863.5805511869994
16,2,5,839.5406748236094,868.474843604942
17,2,6,840.2358652996165,872.7868051786156
18,2,7,838.3374452295286,874.5051562061943
19,2,8,815.9096482249897,855.6941302993221
20,2,9,825.6491544866683,869.0504076586672
21,2,10,800.8992752484024,847.9172995180679
22,2,11,794.749047331486,845.3838426988181
23,2,12,757.6617113080677,811.9132777730663
24,3,1,849.0281360019563,867.1119914902893
25,3,2,829.1178840235427,850.8185106095422
26,3,3,829.062091952578,854.379489636244
27,3,4,840.0775886319649,869.0117574132975
28,3,5,839.7564636092492,872.3074034882484
29,3,6,842.0245703366445,878.1922813133102
30,3,7,838.9694398374697,878.7539219118021
31,3,8,842.9055113393142,886.3067645113131
32,3,9,815.1130275435156,862.1310518131811
33,3,10,817.0943959139887,867.7291912813207
34,3,11,795.5308250336141,849.7823914986127
35,3,12,759.2837568506319,817.152094413297
36,4,1,850.7522880864083,872.4529146724077
37,4,2,844.9551642324883,870.2725619161542
38,4,3,838.5629837076026,867.4971524889352
39,4,4,838.3623706908936,870.9133105698927
40,4,5,826.1259844421961,862.2936954188618
41,4,6,827.6087358337076,867.3932179080398
42,4,7,837.5140437100395,880.9152968820383
43,4,8,831.6326332137592,878.6506574834245
44,4,9,817.0958593179087,867.7306546852407
45,4,10,807.4427484102127,861.6943148752114
46,4,11,788.8775600688117,846.7458976314769
47,4,12,753.5841159553294,815.0692246156611
48,5,1,852.6256261116386,877.9430237953045
49,5,2,838.1766087794658,867.1107775607984
50,5,3,844.9077882087836,877.4587280877827
51,5,4,840.7596493177529,876.9273602944186
52,5,5,831.2609838650689,871.0454659394011
53,5,6,824.6981474243327,868.0994005963315
54,5,7,827.6020502078995,874.6200744775649
55,5,8,825.0606388530445,875.6954342203765
56,5,9,805.9289473070347,860.1805137720332
57,5,10,790.3697191139221,848.2380566765872
58,5,11,790.9410632001639,852.4261718604955
59,5,12,755.4191065604455,820.5209863184438
60,6,1,854.1490350856647,883.0832038669972
61,6,2,841.0573271728995,873.6082670518986
62,6,3,832.0788251996537,868.2465361763194
63,6,4,835.9078686199493,875.6923506942817
64,6,5,825.0300073164491,868.431260488448
65,6,6,816.4371996901784,863.4552239598438
66,6,7,817.5395585980737,868.1743539654057
67,6,8,820.5407837652965,874.7923502302951
68,6,9,795.2159434914099,853.0842810540751
69,6,10,799.2114021184777,860.6965107788094
70,6,11,790.9854134137609,856.0872931717591
71,6,12,756.3210538440234,825.0397046996882
72,7,1,856.0386061641686,888.5895460431677
73,7,2,840.8455667782055,877.0132777548712
74,7,3,837.4053593787097,877.1898414530419
75,7,4,838.6956186447203,882.0968718167192
76,7,5,824.4788987391102,871.4969230087756
77,7,6,818.1051780979293,868.7399734652613
78,7,7,815.5668711320111,869.8184375970097
79,7,8,807.4241831002851,865.2925206629502
80,7,9,797.2143360573812,858.6994447177128
81,7,10,781.0308537428031,846.1327335008014
82,7,11,778.1606680803922,846.879318936057
83,7,12,757.996922218708,830.3323441720395
84,8,1,850.1239638170944,886.2916747937601
85,8,2,840.5403083987469,880.3247904730792
86,8,3,840.30490818736,883.7061613593588
87,8,4,827.2559540003663,874.2739782700316
88,8,5,824.4167062329172,875.0515016002493
89,8,6,819.961336641959,874.2129031069576
90,8,7,813.6237646781493,871.4921022408145
91,8,8,811.0421988970552,872.5273075573868
92,8,9,812.4809959176728,877.5828756756711
93,8,10,807.1501866442294,875.8688374998942
94,8,11,782.8943999460353,855.2298218993667
95,8,12,758.7900005464842,834.7421935974821
96,9,1,858.9035813875083,898.6880634618406
97,9,2,843.3306011706896,886.7318543426885
98,9,3,825.8148632084848,872.8328874781503
99,9,4,827.648843831365,878.283639198697
100,9,5,821.1319408064774,875.383507271476
101,9,6,817.2872512193371,875.1555887820023
102,9,7,805.8267299147466,867.3118385750784
103,9,8,808.0879953763333,873.1898751343316
104,9,9,811.4862527740029,880.2049036296678
105,9,10,797.1765340778395,869.5119560311709
106,9,11,780.006434025645,855.9586270766431
107,9,12,760.2463837490897,839.8153478977542
108,10,1,860.4528026006477,903.8540557726466
109,10,2,835.7794287396991,882.7974530093645
110,10,3,827.5993536149531,878.2341489822851
111,10,4,829.753329648176,884.0048961131745
112,10,5,824.8672669544312,882.7356045170964
113,10,6,820.0687251116019,881.5538337719336
114,10,7,807.9558462305235,873.0577259885218
115,10,8,809.1135759841901,877.8322268398549
116,10,9,806.3768551315368,878.7122770848682
117,10,10,801.8336904244239,877.785883475422
118,10,11,785.7016668475572,865.2706309962218
119,10,12,761.9246222930731,845.1103575394043
120,11,1,850.744266425016,897.7622906946815
121,11,2,834.2519298536797,884.8867252210117
122,11,3,824.4158744376141,878.6674409026127
123,11,4,824.009577591569,881.8779151542342
124,11,5,808.6693758023523,870.154484462684
125,11,6,818.0967228501629,883.1986026081612
126,11,7,809.5915113269618,878.3101621826268
127,11,8,800.7787459973117,873.1141679506432
128,11,9,788.3376561637322,864.2898492147301
129,11,10,783.0400179162326,862.6089820648972
130,11,11,784.9784256431424,868.1641608894736
131,11,12,763.9410916057031,850.7435979497009
132,12,1,789.4622262763189,840.0970216436509
133,12,2,790.6858107401148,844.9373772051133
134,12,3,791.9130774316578,849.781414994323
135,12,4,793.8830147650076,855.3681234253393
136,12,5,795.1896800527675,860.2915598107658
137,12,6,790.8434217504328,859.5620726060977
138,12,7,784.9965179059899,857.3319398593213
139,12,8,783.923891941043,859.8760849920411
140,12,9,787.6481881082026,867.2171522568672
141,12,10,784.4370777644491,867.6228130107802
142,12,11,780.7235086762983,867.526015020296
143,12,12,766.465982050402,856.8852594920663
